movie_id,movie_title,release_date,release_year,budget,revenue,profit,popularity
253,Live and Let Die,1973-07-05,1973,7000000,161777836,154777836,9.773768
254,King Kong,2005-12-14,2005,207000000,550000000,343000000,19.761164
255,Stolen Kisses,1968-08-13,1968,350000,0,-350000,6.564465
256,Antoine and Colette,1962-06-22,1962,0,0,0,1.673854
257,Oliver Twist,2005-09-23,2005,50000000,42093706,-7906294,12.369935
258,Bed and Board,1970-08-31,1970,0,0,0,11.97502
259,Love on the Run,1979-01-24,1979,0,0,0,3.762139
260,The 39 Steps,1935-06-01,1935,0,0,0,5.865697
261,Cat on a Hot Tin Roof,1958-02-17,1958,3000000,17570324,14570324,11.794846
262,The King of Comedy,1982-12-18,1982,20000000,0,-20000000,9.093411
265,Lili Marleen,1981-01-14,1981,0,0,0,2.525223
266,Contempt,1963-10-21,1963,900000,528428,-371572,7.543337
267,Live Flesh,1997-10-28,1997,0,1535558,1535558,6.715019
268,Batman,1989-06-23,1989,35000000,411348924,376348924,19.10673
269,Breathless,1960-03-16,1960,0,0,0,8.200586
271,Ronja Robbersdaughter,1984-12-20,1984,0,0,0,5.135373
272,Batman Begins,2005-06-10,2005,150000000,374218673,224218673,28.505341
273,The White Sound,2001-12-31,2001,250000,0,-250000,3.10114
274,The Silence of the Lambs,1991-02-01,1991,19000000,272742922,253742922,4.307222
275,Fargo,1996-04-05,1996,7000000,60611975,53611975,12.61469
276,The Edukators,2004-10-25,2004,0,0,0,5.681706
277,Underworld,2003-09-19,2003,22000000,95708457,73708457,20.624333
278,The Shawshank Redemption,1994-09-23,1994,25000000,28341469,3341469,51.645403
279,Amadeus,1984-10-26,1984,18000000,51973029,33973029,12.677592
280,Terminator 2: Judgment Day,1991-07-01,1991,100000000,520000000,420000000,22.661695
281,Strange Days,1995-10-13,1995,42000000,7959291,-34040709,11.223055
284,The Apartment,1960-06-15,1960,3000000,25000000,22000000,11.994281
285,Pirates of the Caribbean: At World's End,2007-05-19,2007,300000000,961000000,661000000,31.363664
286,Germany: A Summer's Fairytale,2006-10-03,2006,0,0,0,1.158527
287,Bull Durham,1988-06-15,1988,7000000,50888000,43888000,6.924072
288,High Noon,1952-03-27,1952,730000,8000000,7270000,16.715935
289,Casablanca,1942-11-26,1942,878000,10462500,9584500,13.916101
290,Barton Fink,1991-08-01,1991,9000000,6153939,-2846061,8.387026
291,Riding Giants,2004-07-09,2004,2600000,3166000,566000,2.203949
292,Dave Chappelle's Block Party,2005-09-12,2005,3000000,11718595,8718595,2.092791
293,A River Runs Through It,1992-10-09,1992,0,43440294,43440294,12.583826
